strategy,param,seed,total_reward,final_reward
softmax,0.1,5,818.0,1.0
softmax,0.1,6,2374.0,1.0
softmax,0.1,7,2317.0,1.0
softmax,0.1,8,1995.0,1.0
softmax,0.1,9,2337.0,1.0
softmax,0.1,10,2508.0,1.0
softmax,0.1,11,2352.0,1.0
softmax,0.1,12,2355.0,1.0
softmax,0.1,13,3465.0,1.0
softmax,0.1,14,1511.0,1.0
softmax,0.1,15,1370.0,1.0
softmax,0.1,16,3019.0,1.0
softmax,0.1,17,2539.0,1.0
softmax,0.1,18,3217.0,1.0
softmax,0.1,19,1214.0,1.0
softmax,0.5,0,26.0,1.0
softmax,0.5,1,129.0,1.0
softmax,0.5,2,106.0,1.0
softmax,0.5,3,94.0,1.0
softmax,0.5,4,45.0,1.0
softmax,0.5,5,14.0,1.0
softmax,0.5,6,52.0,1.0
softmax,0.5,7,86.0,1.0
softmax,0.5,8,85.0,1.0
softmax,0.5,9,80.0,1.0
softmax,0.5,10,71.0,1.0
softmax,0.5,11,52.0,1.0
softmax,0.5,12,79.0,1.0
softmax,0.5,13,112.0,1.0
softmax,0.5,14,24.0,1.0
softmax,0.5,15,24.0,1.0
softmax,0.5,16,126.0,1.0
softmax,0.5,17,84.0,1.0
softmax,0.5,18,95.0,1.0
softmax,0.5,19,21.0,1.0
softmax,1.0,0,19.0,1.0
softmax,1.0,1,19.0,1.0
softmax,1.0,2,25.0,1.0
softmax,1.0,3,22.0,1.0
softmax,1.0,4,13.0,1.0
softmax,1.0,5,9.0,1.0
softmax,1.0,6,21.0,1.0
softmax,1.0,7,24.0,1.0
softmax,1.0,8,15.0,1.0
softmax,1.0,9,21.0,1.0
softmax,1.0,10,17.0,1.0
softmax,1.0,11,11.0,1.0
softmax,1.0,12,19.0,1.0
softmax,1.0,13,28.0,1.0
softmax,1.0,14,9.0,1.0
softmax,1.0,15,8.0,1.0
softmax,1.0,16,16.0,1.0
softmax,1.0,17,20.0,1.0
softmax,1.0,18,20.0,1.0
softmax,1.0,19,10.0,1.0
softmax,2.0,0,15.0,1.0
softmax,2.0,1,12.0,1.0
softmax,2.0,2,16.0,1.0
softmax,2.0,3,14.0,1.0
softmax,2.0,4,9.0,1.0
softmax,2.0,5,9.0,1.0
softmax,2.0,6,12.0,1.0
softmax,2.0,7,19.0,1.0
softmax,2.0,8,8.0,1.0
